EURINGCode;Species_name
1860;Anas platyrhynchos
3320;Lyrurus tetrix
4330;Grus grus
4500;Haematopus ostralegus
4850;Pluvialis apricaria
4930;Vanellus vanellus
5190;Gallinago gallinago
5380;Numenius phaeopus
5410;Numenius arquata
5460;Tringa totanus
5480;Tringa nebularia
5530;Tringa ochropus
5540;Tringa glareola
5560;Actitis hypoleucos
6700;Columba palumbus
7240;Cuculus canorus
7950;Apus apus
8560;Picus viridis
8630;Dryocopus martius
8760;Dendrocopos major
9760;Alauda arvensis
9920;Hirundo rustica
10010;Delichon urbicum
10090;Anthus trivialis
10110;Anthus pratensis
10170;Motacilla flava
10200;Motacilla alba
10660;Troglodytes troglodytes
10840;Prunella modularis
10990;Erithacus rubecula
11060;Cyanecula svecica
11220;Phoenicurus phoenicurus
11370;Saxicola rubetra
11460;Oenanthe oenanthe
11860;Turdus torquatus
11870;Turdus merula
11980;Turdus pilaris
12000;Turdus philomelos
12010;Turdus iliacus
12020;Turdus viscivorus
12590;Hippolais icterina
12740;Sylvia curruca
12750;Sylvia communis
12760;Sylvia borin
12770;Sylvia atricapilla
13110;Phylloscopus collybita
13120;Phylloscopus trochilus
13140;Regulus regulus
13350;Muscicapa striata
13490;Ficedula hypoleuca
14420;Poecile montanus
14540;Lophophanes cristatus
14610;Periparus ater
14620;Cyanistes caeruleus
14640;Parus major
14860;Certhia familiaris
15390;Garrulus glandarius
15490;Pica pica
15670;Corvus corone
15720;Corvus corax
15820;Sturnus vulgaris
15910;Passer domesticus
16360;Fringilla coelebs
16380;Fringilla montifringilla
16490;Chloris chloris
16540;Spinus spinus
16630;Carduelis flammea
17100;Pyrrhula pyrrhula
18470;Calcarius lapponicus
18570;Emberiza citrinella
18770;Emberiza schoeniclus
