"B_sel";"Schedule_code";"Species_nr";"Level1";"Level2";"Weight"
1;"COMB";10010;62;14;1
1;"COMB";10010;63;14;596.224683894523
1;"COMB";10090;62;14;1
1;"COMB";10090;63;14;865.668129467744
1;"COMB";10110;62;14;1
1;"COMB";10110;63;14;880.42449986274
1;"COMB";10200;62;14;1
1;"COMB";10200;63;14;2823.61930028818
1;"COMB";10660;62;14;1
1;"COMB";10660;63;14;802.228114748784
1;"COMB";10840;62;14;1
1;"COMB";10840;63;14;489.649922080292
1;"COMB";10990;62;14;1
1;"COMB";10990;63;14;556.265987570473
1;"COMB";11220;62;14;1
1;"COMB";11220;63;14;315.032304693585
1;"COMB";11370;62;14;1
1;"COMB";11370;63;14;1366.4596029106
1;"COMB";11870;62;14;1
1;"COMB";11870;63;14;361.961060373832
1;"COMB";11980;62;14;1
1;"COMB";11980;63;14;386.57922718402
1;"COMB";12000;62;14;1
1;"COMB";12000;63;14;789.818274505589
1;"COMB";12010;62;14;1
1;"COMB";12010;63;14;786.245067130781
1;"COMB";12590;62;14;1
1;"COMB";12590;63;14;768.848588252149
1;"COMB";12740;62;14;1
1;"COMB";12740;63;14;585.489354276316
1;"COMB";12750;62;14;1
1;"COMB";12750;63;14;587.409000970677
1;"COMB";12760;62;14;1
1;"COMB";12760;63;14;3101.59815413333
1;"COMB";12770;62;14;1
1;"COMB";12770;63;14;1775.27298344487
1;"COMB";13110;62;14;1
1;"COMB";13110;63;14;392.982649796221
1;"COMB";13120;62;14;1
1;"COMB";13120;63;14;718.213928133932
1;"COMB";13140;62;14;1
1;"COMB";13140;63;14;3380.84863162706
1;"COMB";13350;62;14;1
1;"COMB";13350;63;14;2849.26986217617
1;"COMB";13490;62;14;1
1;"COMB";13490;63;14;2707.12006526419
1;"COMB";14420;62;14;1
1;"COMB";14420;63;14;2464.11246233766
1;"COMB";14540;62;14;1
1;"COMB";14540;63;14;1655.76225439331
1;"COMB";14610;62;14;1
1;"COMB";14610;63;14;1189.52542654206
1;"COMB";14620;62;14;1
1;"COMB";14620;63;14;1451.05190731261
1;"COMB";14640;62;14;1
1;"COMB";14640;63;14;2025.53062279364
1;"COMB";15390;62;14;1
1;"COMB";15390;63;14;1987.82450954545
1;"COMB";15490;62;14;1
1;"COMB";15490;63;14;845.147547011952
1;"COMB";15670;62;14;1
1;"COMB";15670;63;14;327.532734534225
1;"COMB";15720;62;14;1
1;"COMB";15720;63;14;695.643114940422
1;"COMB";15820;62;14;1
1;"COMB";15820;63;14;905.579655496265
1;"COMB";15910;62;14;1
1;"COMB";15910;63;14;1569.11319857752
1;"COMB";16360;62;14;1
1;"COMB";16360;63;14;796.179345531316
1;"COMB";16380;62;14;1
1;"COMB";16380;63;14;945.321783256041
1;"COMB";16490;62;14;1
1;"COMB";16490;63;14;1092.69122633229
1;"COMB";16540;62;14;1
1;"COMB";16540;63;14;196.833693435553
1;"COMB";16630;62;14;1
1;"COMB";16630;63;14;969.868769448373
1;"COMB";17100;62;14;1
1;"COMB";17100;63;14;1373.02287572816
1;"COMB";18570;62;14;1
1;"COMB";18570;63;14;676.118037609562
1;"COMB";1860;62;14;1
1;"COMB";1860;63;14;729.519849615385
1;"COMB";18770;62;14;1
1;"COMB";18770;63;14;797.54795964691
1;"COMB";3320;62;14;1
1;"COMB";3320;63;14;320.441139516616
1;"COMB";4930;62;14;1
1;"COMB";4930;63;14;447.94417437931
1;"COMB";5190;62;14;1
1;"COMB";5190;63;14;191.565934004171
1;"COMB";5410;62;14;1
1;"COMB";5410;63;14;31.4037146538462
1;"COMB";5460;62;14;1
1;"COMB";5460;63;14;76.7989586845521
1;"COMB";5560;62;14;1
1;"COMB";5560;63;14;572.310687383178
1;"COMB";6700;62;14;1
1;"COMB";6700;63;14;873.741830185349
1;"COMB";7240;62;14;1
1;"COMB";7240;63;14;9.64393545434298
1;"COMB";7950;62;14;1
1;"COMB";7950;63;14;798.346365806452
1;"COMB";8760;62;14;1
1;"COMB";8760;63;14;117.909371407563
1;"COMB";9760;62;14;1
1;"COMB";9760;63;14;1152.140227051
1;"COMB";9920;62;14;1
1;"COMB";9920;63;14;238.093238483607
